Energy,Mean Intensity,ROI,Normalized Mean Intensity,pre_edge_line,post_edge_line,mu
296.5,0.5548698,b,0.9829385055791514,0.31135262948082687,0.5594225305450153,0.5548697710037231
297.0,0.59792435,b,1.1517947923344978,0.3100998711019455,0.5574188032289379,0.5979243516921997
297.5,0.591563,b,1.1354645170830477,0.3088471127230641,0.5554150759128602,0.5915629863739014
298.0,0.55613863,b,1.0102205214002364,0.3075943543441827,0.5534113485967824,0.5561386346817017
298.5,0.5609958,b,1.0359318232017345,0.3063415959653013,0.5514076212807049,0.5609958171844482
299.0,0.558853,b,1.0354104728871785,0.3050888375864198,0.5494038939646272,0.5588529706001282
299.5,0.5886849,b,1.1547148543217824,0.3038360792075384,0.5474001666485495,0.5886849164962769
300.0,0.6002689,b,1.2056348857821009,0.302583320828657,0.545396439332472,0.6002689003944397
280.0,0.19434524,c,0.00953119348447564,0.1923207102836536,0.40651228671790085,0.19434523582458496
280.5,0.19323094,c,0.00808099007930836,0.1915144547761563,0.40548339622723023,0.19323094189167023
281.0,0.18744047,c,-0.015384029793316443,0.19070819926865906,0.4044545057365596,0.18744046986103058
281.5,0.18659286,c,-0.015578711055302912,0.18990194376116182,0.40342561524588894,0.18659286201000214
282.0,0.19104047,c,0.009155776074746082,0.18909568825366452,0.4023967247552182,0.19104047119617462
282.5,0.18750952,c,-0.003671715460217712,0.18828943274616727,0.4013678342645476,0.18750952184200287
283.0,0.19023097,c,0.012936217465872878,0.18748317723867003,0.4003389437738769,0.19023096561431885
283.5,0.18435,c,-0.010954839506575022,0.18667692173117273,0.39931005328320623,0.18434999883174896
283.6,0.1837143,c,-0.013188473643565152,0.18651567062967322,0.3991042751850721,0.18371430039405823
283.7,0.18681905,c,0.002187402294589965,0.18635441952817383,0.3988984970869379,0.18681904673576355
283.8,0.18907855,c,0.013584008940257212,0.18619316842667438,0.3986927189888038,0.18907855451107025
283.9,0.18673334,c,0.003302181119727106,0.186031917325175,0.3984869408906698,0.18673333525657654
284.0,0.18592145,c,0.00023906193937928144,0.18587066622367548,0.39828116279253556,0.18592144548892975
284.1,0.19511904,c,0.04450886491673012,0.18570941512217598,0.3980753846944014,0.19511903822422028
284.2,0.19403094,c,0.040355023144998836,0.1855481640206766,0.39786960659626736,0.19403094053268433
284.3,0.19900477,c,0.06473991454337202,0.18538691291917708,0.3976638284981332,0.19900476932525635
284.4,0.19940716,c,0.06760309251638552,0.1852256618176777,0.39745805039999904,0.199407160282135
284.5,0.21189524,c,0.12736407586918386,0.18506441071617818,0.39725227230186494,0.21189524233341217
284.6,0.21987857,c,0.1659172789469121,0.18490315961467874,0.39704649420373084,0.21987856924533844
284.7,0.22114763,c,0.17286060573646211,0.18474190851317934,0.3968407161055967,0.22114762663841248
284.8,0.23035954,c,0.2171978254193836,0.18458065741167984,0.3966349380074625,0.2303595393896103
284.9,0.24676666,c,0.29540909846882957,0.18441940631018044,0.3964291599093285,0.24676665663719177
285.0,0.24829286,c,0.3035630496996198,0.18425815520868094,0.3962233818111943,0.24829286336898804
285.1,0.25730714,c,0.3469698346624758,0.18409690410718144,0.39601760371306016,0.25730714201927185
